Country,TotalValue_MillionUSD
CANADA,1025594.4
MEXICO,967569.1
ITALY,192406.1
CHINA,176082.6
CHILE,155332.8
FRANCE,152718.7
INDONESIA,132371.4
VIETNAM,121991.1
INDIA,118168.6
AUSTRALIA,110974.5
BRAZIL,110344.3
THAILAND,90383.4
GUATEMALA,81497.4
ECUADOR,81084.5
IRELAND,75348.8
NEW ZEALAND,75320.2
SPAIN,65457.8
COLOMBIA,65305.3
NETHERLANDS,64548.3
PERU,60184.8
COSTA RICA,56288.3
COTE D�IVOIRE,34886.7
UNITED KINGDOM,33698.5
PHILIPPINES,29188.1
"GERMANY, FED. REPUBLIC",26393.5
SWITZERLAND,25788.6
ARGENTINA,24538.7
MALAYSIA,22958.4
SINGAPORE,22173.5
HONDURAS,15607.3
AUSTRIA,12804.2
NORWAY,12559.5
SOUTH KOREA,12026.2
URUGUAY,11011.3
BELGIUM,10640.9
TURKEY,8395.8
TUNISIA,8391.7
SWEDEN,7585.3
NICARAGUA,5378.9
DOMINICAN REPUBLIC,4120.0
MADAGASCAR,3720.8
GHANA,3677.8
JAPAN,3349.1
GREECE,3214.1
POLAND,2124.7
REPUBLIC OF SOUTH AFRICA,2054.6
EL SALVADOR,1949.4
FAROE ISLANDS,1564.3
PAKISTAN,1338.2
BOLIVIA,691.5
NIGERIA,556.3
PARAGUAY,505.1
ISRAEL,431.6
SRI LANKA,323.1
DENMARK,162.9
TAIWAN,80.6
BENIN,76.7
HUNGARY,27.9
