YearNum,Country,Category,YearlyValue_MillionUSD
1999,ARGENTINA,Beverages,21.7
1999,ARGENTINA,Fish,15.8
1999,ARGENTINA,Fruits,132.3
1999,ARGENTINA,Grains,0.1
1999,ARGENTINA,Nuts,36.2
1999,ARGENTINA,Other,16.0
1999,ARGENTINA,Sweets,114.6
1999,ARGENTINA,VegetablesOil,14.6
1999,AUSTRALIA,Beverages,407.9
1999,AUSTRALIA,Dairy,21.2
1999,AUSTRALIA,Grains,71.1
1999,AUSTRALIA,Meats,1147.5
1999,AUSTRALIA,Other,0.0
1999,AUSTRIA,Beverages,15.0
1999,BELGIUM,Animals,0.0
1999,BELGIUM,Beverages,6.9
1999,BELGIUM,Cocoa,45.2
1999,BELGIUM,Vegetables,18.3
1999,BENIN,Nuts,0.0
1999,BOLIVIA,Nuts,8.0
1999,BRAZIL,Coffee,1063.5
1999,BRAZIL,Fruits,426.9
1999,BRAZIL,Meats,125.0
1999,BRAZIL,Nuts,201.5
1999,BRAZIL,Other,21.9
1999,BRAZIL,Sweets,257.4
1999,BRAZIL,VegetablesOil,0.3
1999,CANADA,Animals,1767.2
1999,CANADA,Beverages,1327.1
1999,CANADA,Cocoa,692.5
1999,CANADA,Coffee,292.7
1999,CANADA,Dairy,128.6
1999,CANADA,Fish,3417.6
1999,CANADA,Fruits,332.1
1999,CANADA,Grains,3176.1
1999,CANADA,Meats,2900.4
1999,CANADA,Nuts,53.6
1999,CANADA,Other,448.5
1999,CANADA,Sweets,622.4
1999,CANADA,Vegetables,1589.4
1999,CANADA,VegetablesOil,577.7
1999,CHILE,Dairy,3.0
1999,CHILE,Fish,719.7
1999,CHILE,Fruits,1116.4
1999,CHILE,Meats,0.0
1999,CHINA,Animals,3.9
1999,CHINA,Coffee,45.3
1999,CHINA,Fish,705.2
1999,CHINA,Fruits,171.0
1999,CHINA,Grains,56.7
1999,CHINA,Meats,2.4
1999,CHINA,Nuts,64.4
1999,CHINA,Other,133.7
1999,CHINA,Sweets,54.6
1999,CHINA,Vegetables,172.3
1999,COLOMBIA,Coffee,1038.2
1999,COLOMBIA,Fruits,447.7
1999,COLOMBIA,Sweets,30.1
1999,COLOMBIA,VegetablesOil,0.1
1999,COSTA RICA,Fruits,1427.5
1999,COSTA RICA,Vegetables,44.3
1999,COTE D�IVOIRE,Cocoa,582.3
1999,COTE D�IVOIRE,Nuts,3.0
1999,DENMARK,Dairy,0.3
1999,DOMINICAN REPUBLIC,Cocoa,14.5
1999,DOMINICAN REPUBLIC,Sweets,69.4
1999,ECUADOR,Cocoa,87.7
1999,ECUADOR,Fish,1046.7
1999,ECUADOR,Fruits,1001.0
1999,ECUADOR,Vegetables,1.8
1999,EL SALVADOR,Sweets,23.4
1999,FAROE ISLANDS,Fish,6.6
1999,FRANCE,Beverages,2761.6
1999,FRANCE,Cocoa,18.8
1999,FRANCE,Dairy,149.8
1999,FRANCE,Grains,105.2
1999,FRANCE,Other,116.1
1999,"GERMANY, FED. REPUBLIC",Beverages,136.8
1999,"GERMANY, FED. REPUBLIC",Cocoa,28.3
1999,"GERMANY, FED. REPUBLIC",Dairy,11.5
1999,"GERMANY, FED. REPUBLIC",Grains,117.2
1999,"GERMANY, FED. REPUBLIC",Other,91.0
1999,"GERMANY, FED. REPUBLIC",Sweets,70.9
1999,GHANA,Cocoa,39.4
1999,GREECE,Vegetables,43.2
1999,GUATEMALA,Coffee,301.5
1999,GUATEMALA,Fruits,523.1
1999,GUATEMALA,Sweets,163.7
1999,GUATEMALA,Vegetables,88.4
1999,HONDURAS,Coffee,49.3
1999,HONDURAS,Fruits,70.1
1999,HUNGARY,VegetablesOil,0.0
1999,INDIA,Cocoa,0.3
1999,INDIA,Coffee,344.9
1999,INDIA,Dairy,0.1
1999,INDIA,Fish,381.9
1999,INDIA,Grains,127.0
1999,INDIA,Nuts,297.8
1999,INDIA,Other,126.1
1999,INDIA,Sweets,0.1
1999,INDIA,Vegetables,23.0
1999,INDIA,VegetablesOil,17.1
1999,INDONESIA,Cocoa,287.4
1999,INDONESIA,Coffee,100.3
1999,INDONESIA,Fish,593.2
1999,INDONESIA,Nuts,6.3
1999,INDONESIA,VegetablesOil,211.6
1999,IRELAND,Beverages,320.2
1999,IRELAND,Dairy,53.3
1999,IRELAND,Other,31.5
1999,ISRAEL,Nuts,0.4
1999,ITALY,Beverages,1226.0
1999,ITALY,Cocoa,10.8
1999,ITALY,Coffee,15.4
1999,ITALY,Dairy,292.0
1999,ITALY,Grains,355.4
1999,ITALY,Meats,18.2
1999,ITALY,Other,114.9
1999,ITALY,Vegetables,27.8
1999,ITALY,VegetablesOil,691.9
1999,JAPAN,Coffee,3.7
1999,JAPAN,Fish,53.0
1999,MADAGASCAR,Coffee,19.0
1999,MALAYSIA,Cocoa,113.8
1999,MALAYSIA,VegetablesOil,174.7
1999,MEXICO,Animals,584.3
1999,MEXICO,Beverages,1736.5
1999,MEXICO,Cocoa,64.5
1999,MEXICO,Coffee,545.3
1999,MEXICO,Dairy,8.2
1999,MEXICO,Fish,461.4
1999,MEXICO,Fruits,1985.4
1999,MEXICO,Grains,317.0
1999,MEXICO,Meats,26.9
1999,MEXICO,Nuts,150.1
1999,MEXICO,Other,110.0
1999,MEXICO,Sweets,352.8
1999,MEXICO,Vegetables,3213.3
1999,MEXICO,VegetablesOil,43.5
1999,NETHERLANDS,Beverages,1298.5
1999,NETHERLANDS,Cocoa,141.3
1999,NETHERLANDS,Coffee,33.4
1999,NETHERLANDS,Dairy,81.3
1999,NEW ZEALAND,Beverages,29.9
1999,NEW ZEALAND,Dairy,245.5
1999,NEW ZEALAND,Fruits,82.9
1999,NEW ZEALAND,Meats,770.5
1999,NEW ZEALAND,Other,0.1
1999,NEW ZEALAND,Sweets,0.2
1999,NICARAGUA,Meats,18.3
1999,NICARAGUA,Vegetables,0.1
1999,NIGERIA,Cocoa,3.3
1999,NORWAY,Fish,133.9
1999,NORWAY,Other,7.7
1999,PAKISTAN,Grains,13.2
1999,PARAGUAY,VegetablesOil,0.0
1999,PERU,Cocoa,10.3
1999,PERU,Coffee,88.9
1999,PERU,Dairy,0.1
1999,PERU,Fruits,28.2
1999,PERU,Grains,0.6
1999,PERU,Other,0.9
1999,PERU,Vegetables,127.5
1999,PHILIPPINES,Fruits,33.7
1999,PHILIPPINES,Nuts,85.5
1999,PHILIPPINES,VegetablesOil,451.9
1999,POLAND,Cocoa,3.1
1999,POLAND,Meats,28.0
1999,REPUBLIC OF SOUTH AFRICA,Nuts,13.5
1999,SINGAPORE,Other,2.8
1999,SOUTH KOREA,Fruits,5.7
1999,SOUTH KOREA,Grains,70.4
1999,SOUTH KOREA,Other,16.1
1999,SPAIN,Beverages,239.7
1999,SPAIN,Coffee,15.7
1999,SPAIN,Dairy,10.2
1999,SPAIN,Meats,2.2
1999,SPAIN,Other,21.9
1999,SPAIN,Sweets,26.6
1999,SPAIN,Vegetables,534.9
1999,SPAIN,VegetablesOil,169.6
1999,SRI LANKA,VegetablesOil,0.1
1999,SWEDEN,Beverages,189.6
1999,SWITZERLAND,Beverages,0.4
1999,SWITZERLAND,Cocoa,24.5
1999,SWITZERLAND,Coffee,4.8
1999,SWITZERLAND,Dairy,31.8
1999,SWITZERLAND,Sweets,16.8
1999,TAIWAN,Animals,0.6
1999,THAILAND,Animals,0.7
1999,THAILAND,Fish,728.2
1999,THAILAND,Fruits,379.2
1999,THAILAND,Grains,422.2
1999,THAILAND,Nuts,17.0
1999,THAILAND,Other,43.8
1999,TUNISIA,VegetablesOil,12.3
1999,TURKEY,Animals,0.0
1999,TURKEY,Fruits,6.5
1999,TURKEY,Nuts,27.3
1999,TURKEY,Sweets,4.1
1999,TURKEY,VegetablesOil,28.5
1999,UNITED KINGDOM,Animals,0.6
1999,UNITED KINGDOM,Beverages,604.8
1999,UNITED KINGDOM,Fish,34.2
1999,URUGUAY,Meats,94.2
1999,URUGUAY,Other,0.0
1999,VIETNAM,Coffee,235.0
1999,VIETNAM,Fish,270.2
1999,VIETNAM,Nuts,69.6
1999,VIETNAM,VegetablesOil,0.0
2000,ARGENTINA,Beverages,32.5
2000,ARGENTINA,Fish,23.3
2000,ARGENTINA,Fruits,120.4
2000,ARGENTINA,Grains,0.0
2000,ARGENTINA,Nuts,36.8
2000,ARGENTINA,Other,33.8
2000,ARGENTINA,Sweets,139.6
2000,ARGENTINA,VegetablesOil,18.3
2000,AUSTRALIA,Beverages,563.5
2000,AUSTRALIA,Dairy,25.2
2000,AUSTRALIA,Grains,74.6
2000,AUSTRALIA,Meats,1516.2
2000,AUSTRALIA,Other,0.0
2000,AUSTRIA,Beverages,48.1
2000,BELGIUM,Animals,0.0
2000,BELGIUM,Beverages,8.6
2000,BELGIUM,Cocoa,45.9
2000,BELGIUM,Vegetables,17.6
2000,BENIN,Nuts,0.0
2000,BOLIVIA,Nuts,10.9
2000,BRAZIL,Coffee,626.2
2000,BRAZIL,Fruits,293.4
2000,BRAZIL,Meats,93.7
2000,BRAZIL,Nuts,267.1
2000,BRAZIL,Other,28.2
2000,BRAZIL,Sweets,180.3
2000,BRAZIL,VegetablesOil,0.8
2000,CANADA,Animals,2002.6
2000,CANADA,Beverages,1369.7
2000,CANADA,Cocoa,781.8
2000,CANADA,Coffee,307.4
2000,CANADA,Dairy,96.7
2000,CANADA,Fish,3821.4
2000,CANADA,Fruits,348.9
2000,CANADA,Grains,3269.2
2000,CANADA,Meats,3362.7
2000,CANADA,Nuts,53.0
2000,CANADA,Other,480.9
2000,CANADA,Sweets,607.0
2000,CANADA,Vegetables,1890.6
2000,CANADA,VegetablesOil,491.4
2000,CHILE,Dairy,3.3
2000,CHILE,Fish,972.7
2000,CHILE,Fruits,1311.6
2000,CHILE,Meats,0.0
2000,CHINA,Animals,3.5
2000,CHINA,Coffee,46.4
